Periodo,Entidad federativa,"Tasa de mortalidad por tuberculosis (todas las formas), defunciones por cada 100 mil habitantes",Defunciones por cualquier tipo de tuberculosis,Población total
1992,Coahuila de Zaragoza,7.064906303,147,2080707
1992,Colima,6.298495879,31,492181
1992,Chiapas,13.31641028,463,3476913
1992,Chihuahua,7.335581854,185,2521954
1992,Distrito Federal,2.849887857,250,8772275
1992,Durango,5.228229898,74,1415393
1992,Guanajuato,2.47015405,118,4777030
1992,Guerrero,4.324031896,133,3075833
1992,Hidalgo,7.026331846,158,2248684
1992,Jalisco,3.293427964,196,5951246
1992,México,3.175603594,340,10706626
1992,Michoacán de Ocampo,3.360355367,136,4047191
1992,Morelos,3.936276517,57,1448069
1992,Nayarit,7.555723461,66,873510
1992,Nuevo León,6.245020262,211,3378692
1992,Oaxaca,10.77673146,370,3433323
1992,Puebla,7.003566878,326,4654771
1992,Querétaro,4.582769398,60,1309252
1992,Quintana Roo,2.944914597,19,645180
1992,San Luis Potosí,7.416035601,167,2251877
1992,Sinaloa,4.198112424,96,2286742
1992,Sonora,5.862825316,114,1944455
1992,Tabasco,6.835417746,117,1711673
1992,Tamaulipas,8.720940126,205,2350664
1992,Tlaxcala,5.37339864,46,856069
1992,Veracruz de Ignacio de la Llave,11.34902855,771,6793533
1992,Yucatán,5.522703969,83,1502887
1992,Zacatecas,2.466051281,35,1419273
1993,Nacional,5.340573165,4892,91600655
1993,Aguascalientes,2.378269413,21,882995
1993,Baja California,7.792453565,154,1976271
1993,Baja California Sur,6.124595577,23,375535
1993,Campeche,3.003328689,18,599335
1993,Coahuila de Zaragoza,7.360851594,156,2119320
1993,Colima,5.789809935,29,500880
1993,Chiapas,12.64215045,450,3559521
1993,Chihuahua,6.863268948,177,2578946
1993,Distrito Federal,2.397243193,211,8801777
1993,Durango,4.693027002,67,1427650
1993,Guanajuato,2.68937659,130,4833834
1993,Guerrero,3.934795916,122,3100542
1993,Hidalgo,4.451790634,101,2268750
1993,Jalisco,3.462239065,209,6036556
1993,México,2.553480653,281,11004587
1993,Michoacán de Ocampo,3.705271423,151,4075275
1993,Morelos,3.262358903,48,1471328
1993,Nayarit,7.809520145,69,883537
1993,Nuevo León,5.798783937,200,3448999
1993,Oaxaca,9.342460879,324,3468037
1993,Puebla,6.928194753,328,4734278
1993,Querétaro,3.729178134,50,1340778
1993,Quintana Roo,2.79314826,19,680236
1993,San Luis Potosí,7.385449697,168,2274743
1993,Sinaloa,4.52415771,105,2320874
