Periodo,Entidad federativa,Número de casos confirmados de paludismo con prueba de gota gruesa positiva que fueron registrados,Población Total,Tasa de incidencia asociada al paludismo por 100 mil habitantes
2010,Aguascalientes,0,1195787,0
2010,Baja California,0,3224844,0
2010,Baja California Sur,0,649616,0
2010,Campeche,2,836748,0.239020589
2010,Coahuila de Zaragoza,0,2782013,0
2010,Colima,0,658910,0
2010,Chiapas,679,4903755,13.84653189
2010,Chihuahua,159,3525273,4.51028899
2010,Distrito Federal,0,8944599,0
2010,Durango,51,1669815,3.054230558
2010,Guanajuato,0,5558502,0
2010,Guerrero,0,3444264,0
2010,Hidalgo,0,2690086,0
2010,Jalisco,7,7442625,0.094052838
2010,México,0,15571679,0
2010,Michoacán de Ocampo,0,4420271,0
2010,Morelos,0,1803340,0
2010,Nayarit,74,1108860,6.673520553
2010,Nuevo León,0,4723273,0
2010,Oaxaca,167,3868109,4.317355069
2010,Puebla,0,5863823,0
2010,Querétaro,0,1848191,0
2010,Quintana Roo,8,1350945,0.592178068
2010,San Luis Potosí,0,2616459,0
2010,Sinaloa,59,2851334,2.069206905
2010,Sonora,8,2727032,0.293359227
2010,Tabasco,12,2252641,0.532708052
2010,Tamaulipas,0,3334664,0
2010,Tlaxcala,0,1186143,0
2010,Veracruz de Ignacio de la Llave,0,7712247,0
2010,Yucatán,0,1980690,0
2010,Zacatecas,0,1509019,0
2011,Nacional,1124,115682867,0.971621839
2011,Aguascalientes,0,1215094,0
2011,Baja California,0,3275399,0
2011,Baja California Sur,0,672682,0
2011,Campeche,0,852373,0
2011,Coahuila de Zaragoza,0,2818077,0
2011,Colima,0,672263,0
2011,Chiapas,514,4980633,10.31997338
2011,Chihuahua,297,3559248,8.344459279
2011,Distrito Federal,0,8928400,0
2011,Durango,67,1690418,3.963516716
2011,Guanajuato,0,5614698,0
2011,Guerrero,0,3473454,0
2011,Hidalgo,0,2730570,0
2011,Jalisco,11,7543233,0.145826067
2011,México,0,15845558,0
2011,Michoacán de Ocampo,0,4458100,0
2011,Morelos,0,1827187,0
2011,Nayarit,130,1132215,11.48191819
2011,Nuevo León,0,4797263,0
2011,Oaxaca,21,3901419,0.538265693
2011,Puebla,0,5935014,0
2011,Querétaro,0,1881105,0
2011,Quintana Roo,5,1395357,0.358331237
2011,San Luis Potosí,0,2647570,0
2011,Sinaloa,63,2878525,2.188620908
2011,Sonora,3,2767364,0.108406411
2011,Tabasco,13,2283140,0.569391277
2011,Tamaulipas,0,3376515,0
2011,Tlaxcala,0,1206291,0
2011,Veracruz de Ignacio de la Llave,0,7791801,0
2011,Yucatán,0,2009160,0
2011,Zacatecas,0,1522741,0
2012,Nacional,833,117053751,0.711638878
2012,Aguascalientes,0,1233921,0
2012,Baja California,0,3328623,0
2012,Baja California Sur,0,695409,0
2012,Campeche,0,866375,0
2012,Coahuila de Zaragoza,0,2854334,0
2012,Colima,0,685394,0
2012,Chiapas,255,5050568,5.04893707
2012,Chihuahua,157,3598792,4.362574997
2012,Distrito Federal,0,8911665,0
2012,Durango,124,1709741,7.252560476
2012,Guanajuato,0,5668181,0
2012,Guerrero,0,3499507,0
2012,Hidalgo,0,2768973,0
2012,Jalisco,4,7644152,0.052327583
2012,México,0,16106485,0
2012,Michoacán de Ocampo,0,4494730,0
2012,Morelos,0,1850812,0
2012,Nayarit,115,1155448,9.952849458
2012,Nuevo León,0,4868844,0
2012,Oaxaca,7,3930833,0.178079303
2012,Puebla,0,6002161,0
2012,Querétaro,0,1912803,0
2012,Quintana Roo,14,1440115,0.972144586
2012,San Luis Potosí,0,2675311,0
2012,Sinaloa,150,2905750,5.162178439
2012,Sonora,0,2809806,0
2012,Tabasco,7,2309071,0.30315222
2012,Tamaulipas,0,3419338,0
2012,Tlaxcala,0,1224637,0
2012,Veracruz de Ignacio de la Llave,0,7858604,0
2012,Yucatán,0,2036694,0
2012,Zacatecas,0,1536674,0
2013,Nacional,495,114500185,0.432313712
2013,Aguascalientes,0,1159889,0
2013,Baja California,0,3585848,0
2013,Baja California Sur,0,605137,0
2013,Campeche,0,873879,0
2013,Coahuila de Zaragoza,0,2776375,0
2013,Colima,0,647050,0
2013,Chiapas,155,4861173,3.188530834
2013,Chihuahua,33,3880735,0.850354379
2013,Distrito Federal,0,8809103,0
2013,Durango,67,1585920,4.224677159
2013,Guanajuato,0,5317266,0
2013,Guerrero,0,3304300,0
2013,Hidalgo,0,2524357,0
2013,Jalisco,3,7203731,0.041645086
2013,México,0,16344518,0
2013,Michoacán de Ocampo,0,4297679,0
2013,Morelos,0,1856374,0
2013,Nayarit,126,1042962,12.08097706
2013,Nuevo León,0,4729794,0
2013,Oaxaca,1,3867506,0.025856456
2013,Puebla,0,5941918,0
2013,Querétaro,0,1819427,0
2013,Quintana Roo,11,1399271,0.786123632
2013,San Luis Potosí,0,2474665,0
2013,Sinaloa,85,2938963,2.892176594
2013,Sonora,0,2776832,0
2013,Tabasco,14,2249701,0.62230492
2013,Tamaulipas,0,3601527,0
2013,Tlaxcala,0,1200959,0
2013,Veracruz de Ignacio de la Llave,0,7414573,0
2013,Yucatán,0,1992495,0
2013,Zacatecas,0,1416258,0
2014,Nacional,656,119713203,0.547976314
2014,Aguascalientes,0,1270174,0
2014,Baja California,0,3432944,0
2014,Baja California Sur,0,741037,0
2014,Campeche,224,894136,25.05210671
2014,Coahuila de Zaragoza,0,2925594,0
2014,Colima,0,710982,0
2014,Chiapas,175,5186572,3
2014,Chihuahua,17,3673342,0
2014,Distrito Federal,0,8874724,0
2014,Durango,24,1746805,1.373936638
2014,Guanajuato,0,5769524,0
2014,Guerrero,0,3546710,0
2014,Hidalgo,0,2842784,0
2014,Jalisco,1,7838010,0.01275834
2014,México,0,16618929,0
2014,Michoacán de Ocampo,0,4563849,0
2014,Morelos,0,1897393,0
2014,Nayarit,46,1201202,3.829498768
2014,Nuevo León,0,5013589,0
2014,Oaxaca,0,3986206,0
2014,Puebla,0,6131498,0
2014,Querétaro,0,1974436,0
2014,Quintana Roo,14,1529877,0.915106132
2014,San Luis Potosí,0,2728208,0
2014,Sinaloa,129,2958691,4.360036627
2014,Sonora,11,2892464,0.380298543
2014,Tabasco,15,2359444,0.635743089
2014,Tamaulipas,0,3502721,0
2014,Tlaxcala,0,1260628,0
2014,Veracruz de Ignacio de la Llave,0,7985893,0
2014,Yucatán,0,2091513,0
2014,Zacatecas,0,1563324,0
