Periodo,Entidad federativa,Número de casos confirmados de paludismo con prueba de gota gruesa positiva que fueron registrados,Población Total,Tasa de incidencia asociada al paludismo por 100 mil habitantes
1992,Baja California Sur,56,363307,15.4139612
1992,Campeche,554,583930,94.87438563
1992,Coahuila de Zaragoza,0,2080707,0
1992,Colima,24,492181,4.876254874
1992,Chiapas,3895,3476913,112.024661
1992,Chihuahua,369,2521954,14.63151191
1992,Distrito Federal,0,8772275,0
1992,Durango,244,1415393,17.23902831
1992,Guanajuato,1,4777030,0.020933509
1992,Guerrero,639,3075833,20.77486001
1992,Hidalgo,910,2248684,40.46811379
1992,Jalisco,168,5951246,2.822938255
1992,México,15,10706626,0.140100159
1992,Michoacán de Ocampo,1197,4047191,29.57606893
1992,Morelos,13,1448069,0.897747276
1992,Nayarit,611,873510,69.94768234
1992,Nuevo León,2,3378692,0.059194505
1992,Oaxaca,2807,3433323,81.75752762
1992,Puebla,51,4654771,1.095650033
1992,Querétaro,2,1309252,0.15275898
1992,Quintana Roo,233,645180,36.1139527
1992,San Luis Potosí,232,2251877,10.30251652
1992,Sinaloa,2748,2286742,120.1709681
1992,Sonora,332,1944455,17.07419303
1992,Tabasco,612,1711673,35.75449283
1992,Tamaulipas,3,2350664,0.127623514
1992,Tlaxcala,0,856069,0
1992,Veracruz de Ignacio de la Llave,412,6793533,6.064591134
1992,Yucatán,13,1502887,0.865001826
1992,Zacatecas,27,1419273,1.902382417
1993,Nacional,15793,91600655,17.24114309
1993,Aguascalientes,0,882995,0
1993,Baja California,0,1976271,0
1993,Baja California Sur,9,375535,2.396580878
1993,Campeche,552,599335,92.10207981
1993,Coahuila de Zaragoza,1,2119320,0.047184946
1993,Colima,14,500880,2.795080658
1993,Chiapas,4075,3559521,114.4816957
1993,Chihuahua,410,2578946,15.89796762
1993,Distrito Federal,0,8801777,0
1993,Durango,210,1427650,14.70948762
1993,Guanajuato,0,4833834,0
1993,Guerrero,319,3100542,10.28852375
1993,Hidalgo,331,2268750,14.58953168
1993,Jalisco,116,6036556,1.92162551
1993,México,11,11004587,0.099958317
1993,Michoacán de Ocampo,651,4075275,15.9743821
1993,Morelos,6,1471328,0.407794863
1993,Nayarit,360,883537,40.74532249
1993,Nuevo León,2,3448999,0.057987839
1993,Oaxaca,5222,3468037,150.5750948
1993,Puebla,23,4734278,0.485818535
1993,Querétaro,0,1340778,0
1993,Quintana Roo,251,680236,36.8989586
1993,San Luis Potosí,62,2274743,2.725582626
1993,Sinaloa,2152,2320874,92.72368944
1993,Sonora,262,1987353,13.18336501
1993,Tabasco,444,1746827,25.41751416
1993,Tamaulipas,7,2401107,0.291532197
1993,Tlaxcala,0,875468,0
1993,Veracruz de Ignacio de la Llave,274,6871335,3.987580288
1993,Yucatán,18,1531251,1.175509436
1993,Zacatecas,11,1422730,0.773161457
1994,Nacional,12864,93055300,13.82403796
1994,Aguascalientes,0,902128,0
1994,Baja California,0,2058198,0
1994,Baja California Sur,1,387994,0.257735944
1994,Campeche,262,614694,42.62283347
1994,Coahuila de Zaragoza,0,2158403,0
1994,Colima,6,509258,1.178184732
1994,Chiapas,2750,3644811,75.44972839
1994,Chihuahua,695,2636937,26.35633692
1994,Distrito Federal,0,8828375,0
1994,Durango,220,1439646,15.28153449
1994,Guanajuato,0,4889078,0
1994,Guerrero,386,3124968,12.35212649
1994,Hidalgo,114,2288570,4.981276518
1994,Jalisco,74,6118571,1.209432725
1994,México,5,11300207,0.044246977
1994,Michoacán de Ocampo,589,4100535,14.36397933
1994,Morelos,0,1493515,0
1994,Nayarit,271,893093,30.34398433
1994,Nuevo León,2,3519985,0.056818424
1994,Oaxaca,4510,3501881,128.7879285
1994,Puebla,26,4815366,0.53993819
1994,Querétaro,0,1372231,0
1994,Quintana Roo,586,715788,81.86781561
1994,San Luis Potosí,59,2296679,2.568926698
1994,Sinaloa,1795,2354573,76.23462938
1994,Sonora,161,2030370,7.929589188
1994,Tabasco,188,1781609,10.55225922
1994,Tamaulipas,2,2452645,0.081544618
1994,Tlaxcala,0,895027,0
1994,Veracruz de Ignacio de la Llave,122,6945101,1.756633921
1994,Yucatán,40,1559473,2.564969063
1994,Zacatecas,0,1425591,0
1995,Nacional,7423,94490336,7.855829828
1995,Aguascalientes,0,921048,0
1995,Baja California,0,2141231,0
1995,Baja California Sur,3,400667,0.748751457
1995,Campeche,75,629897,11.90670856
1995,Coahuila de Zaragoza,1,2197744,0.045501205
1995,Colima,11,517359,2.126183173
1995,Chiapas,2412,3732019,64.62989604
1995,Chihuahua,391,2695309,14.5066855
1995,Distrito Federal,0,8853087,0
1995,Durango,143,1451581,9.851327621
1995,Guanajuato,0,4941687,0
1995,Guerrero,193,3148736,6.129443688
1995,Hidalgo,83,2308109,3.596017346
1995,Jalisco,69,6197229,1.113400844
1995,México,2,11591879,0.017253458
1995,Michoacán de Ocampo,546,4123078,13.24253385
1995,Morelos,1,1514605,0.066023815
1995,Nayarit,370,902312,41.00577184
1995,Nuevo León,0,3591906,0
1995,Oaxaca,1137,3535280,32.1615261
1995,Puebla,8,4895089,0.163429102
1995,Querétaro,19,1403630,1.35363308
1995,Quintana Roo,245,751792,32.58880116
1995,San Luis Potosí,74,2317524,3.193062941
1995,Sinaloa,1284,2387913,53.77080321
1995,Sonora,118,2073741,5.690199499
1995,Tabasco,167,1816022,9.195923838
1995,Tamaulipas,0,2505876,0
1995,Tlaxcala,0,914661,0
1995,Veracruz de Ignacio de la Llave,50,7013920,0.712868125
1995,Yucatán,21,1587453,1.322873811
1995,Zacatecas,0,1427952,0
1996,Nacional,6293,95876664,6.563640971
1996,Aguascalientes,1,939507,0.106438802
1996,Baja California,0,2224286,0
1996,Baja California Sur,2,413575,0.483588225
1996,Campeche,89,644818,13.80234423
1996,Coahuila de Zaragoza,0,2237025,0
1996,Colima,2,524947,0.380990843
1996,Chiapas,1539,3819739,40.29071096
1996,Chihuahua,309,2753282,11.22296953
1996,Distrito Federal,1,8875396,0.011267103
1996,Durango,135,1462829,9.228693169
1996,Guanajuato,2,4990233,0.040078289
1996,Guerrero,74,3170156,2.334269985
1996,Hidalgo,158,2326530,6.791229857
1996,Jalisco,92,6270725,1.46713498
1996,México,1,11876981,0.008419648
1996,Michoacán de Ocampo,341,4140754,8.235215132
1996,Morelos,2,1533870,0.130389146
1996,Nayarit,388,910767,42.6014557
1996,Nuevo León,0,3663689,0
1996,Oaxaca,1051,3566944,29.46499861
1996,Puebla,11,4969986,0.221328591
1996,Querétaro,4,1434671,0.278809567
1996,Quintana Roo,141,788218,17.88845218
1996,San Luis Potosí,66,2336411,2.824845457
1996,Sinaloa,1516,2420265,62.637769
1996,Sonora,66,2117226,3.117286487
1996,Tabasco,199,1849738,10.75828036
1996,Tamaulipas,0,2560332,0
1996,Tlaxcala,0,934238,0
1996,Veracruz de Ignacio de la Llave,91,7075631,1.286104377
1996,Yucatán,12,1614983,0.743041877
1996,Zacatecas,0,1428912,0
1997,Nacional,4808,97204604,4.946267771
1997,Aguascalientes,0,957443,0
1997,Baja California,0,2306424,0
1997,Baja California Sur,0,426653,0
1997,Campeche,73,659417,11.0703849
1997,Coahuila de Zaragoza,0,2276268,0
1997,Colima,1,531965,0.187982292
1997,Chiapas,1934,3907302,49.49706985
1997,Chihuahua,259,2810765,9.214573257
1997,Distrito Federal,1,8895216,0.011241998
1997,Durango,55,1472961,3.733975306
1997,Guanajuato,0,5034272,0
1997,Guerrero,139,3188433,4.35950826
1997,Hidalgo,25,2343436,1.066809591
1997,Jalisco,64,6338294,1.009735427
1997,México,1,12154856,0.008227165
1997,Michoacán de Ocampo,59,4152556,1.420811664
1997,Morelos,0,1550963,0
1997,Nayarit,257,918289,27.98683203
1997,Nuevo León,2,3735127,0.053545703
1997,Oaxaca,844,3596113,23.46978529
1997,Puebla,6,5042096,0.118998131
1997,Querétaro,1,1465233,0.068248531
1997,Quintana Roo,99,825084,11.99877831
1997,San Luis Potosí,18,2352995,0.764982501
1997,Sinaloa,731,2451312,29.82076537
1997,Sonora,41,2160460,1.897743999
1997,Tabasco,151,1882554,8.021018255
1997,Tamaulipas,1,2615528,0.038233198
1997,Tlaxcala,0,953724,0
1997,Veracruz de Ignacio de la Llave,44,7128785,0.617215977
1997,Yucatán,2,1642042,0.121799564
1997,Zacatecas,0,1428038,0
1998,Nacional,25023,98485424,25.40782076
1998,Aguascalientes,0,974940,0
1998,Baja California,0,2387650,0
1998,Baja California Sur,0,439911,0
1998,Campeche,51,673672,7.570449714
1998,Coahuila de Zaragoza,0,2315412,0
1998,Colima,0,538560,0
1998,Chiapas,5224,3994325,130.785552
1998,Chihuahua,331,2868346,11.53975148
1998,Distrito Federal,0,8912913,0
1998,Durango,53,1482259,3.575623423
1998,Guanajuato,0,5074849,0
1998,Guerrero,141,3204303,4.400332927
