Periodo,Entidad federativa,Tasa de mortalidad por VIH/SIDA (por 100 mil habitantes),Defunciones por VIH/SIDA,Población total
1993,Oaxaca,1.124555476,39,3468037
1993,Puebla,4.287876631,203,4734278
1993,Querétaro,1.11875344,15,1340778
1993,Quintana Roo,3.23417167,22,680236
1993,San Luis Potosí,1.538635354,35,2274743
1993,Sinaloa,1.8527503,43,2320874
1993,Sonora,1.207636489,24,1987353
1993,Tabasco,0.915946456,16,1746827
1993,Tamaulipas,1.707545728,41,2401107
1993,Tlaxcala,1.941818547,17,875468
1993,Veracruz de Ignacio de la Llave,2.677791142,184,6871335
1993,Yucatán,5.028568145,77,1531251
1993,Zacatecas,1.054311078,15,1422730
1994,Nacional,3.741861022,3482,93055300
1994,Aguascalientes,2.438678325,22,902128
1994,Baja California,7.919549042,163,2058198
1994,Baja California Sur,2.835095388,11,387994
1994,Campeche,0.976095423,6,614694
1994,Coahuila de Zaragoza,2.084874789,45,2158403
1994,Colima,3.338190073,17,509258
1994,Chiapas,0.932833006,34,3644811
1994,Chihuahua,2.540826724,67,2636937
1994,Distrito Federal,10.04714911,887,8828375
1994,Durango,1.111384326,16,1439646
1994,Guanajuato,1.615846587,79,4889078
1994,Guerrero,2.688027525,84,3124968
1994,Hidalgo,1.398253058,32,2288570
1994,Jalisco,5.654915175,346,6118571
1994,México,4.300806171,486,11300207
1994,Michoacán de Ocampo,1.829029627,75,4100535
1994,Morelos,4.218236844,63,1493515
1994,Nayarit,4.478816876,40,893093
1994,Nuevo León,3.437514648,121,3519985
1994,Oaxaca,2.056037884,72,3501881
1994,Puebla,4.008002715,193,4815366
1994,Querétaro,2.040472778,28,1372231
1994,Quintana Roo,2.93382957,21,715788
1994,San Luis Potosí,2.002892002,46,2296679
1994,Sinaloa,2.633173828,62,2354573
1994,Sonora,1.920832164,39,2030370
1994,Tabasco,1.683871152,30,1781609
1994,Tamaulipas,2.568655472,63,2452645
1994,Tlaxcala,2.011112514,18,895027
1994,Veracruz de Ignacio de la Llave,3.138903236,218,6945101
1994,Yucatán,5.386435033,84,1559473
1994,Zacatecas,0.982048849,14,1425591
1995,Nacional,4.218420813,3986,94490336
1995,Aguascalientes,2.497155414,23,921048
1995,Baja California,8.453081428,181,2141231
1995,Baja California Sur,3.993341104,16,400667
1995,Campeche,2.222585597,14,629897
1995,Coahuila de Zaragoza,2.366062653,52,2197744
1995,Colima,5.218813242,27,517359
1995,Chiapas,1.339757381,50,3732019
1995,Chihuahua,3.190728781,86,2695309
1995,Distrito Federal,11.10347159,983,8853087
1995,Durango,2.135602491,31,1451581
1995,Guanajuato,1.537936336,76,4941687
1995,Guerrero,3.556982866,112,3148736
1995,Hidalgo,1.603043877,37,2308109
1995,Jalisco,6.890176238,427,6197229
1995,México,4.580793157,531,11591879
1995,Michoacán de Ocampo,1.867536826,77,4123078
1995,Morelos,6.008167146,91,1514605
1995,Nayarit,4.100577184,37,902312
1995,Nuevo León,4.315257693,155,3591906
1995,Oaxaca,2.178045303,77,3535280
1995,Puebla,4.024441639,197,4895089
1995,Querétaro,1.852340004,26,1403630
1995,Quintana Roo,2.527294784,19,751792
1995,San Luis Potosí,1.596531471,37,2317524
1995,Sinaloa,3.015185227,72,2387913
1995,Sonora,2.411101483,50,2073741
1995,Tabasco,2.2576819,41,1816022
1995,Tamaulipas,2.514090881,63,2505876
1995,Tlaxcala,3.389233825,31,914661
1995,Veracruz de Ignacio de la Llave,3.906517326,274,7013920
1995,Yucatán,4.598561343,73,1587453
1995,Zacatecas,1.400607303,20,1427952
1996,Nacional,4.524562932,4338,95876664
1996,Aguascalientes,2.554531259,24,939507
1996,Baja California,9.57610667,213,2224286
1996,Baja California Sur,1.934352899,8,413575
1996,Campeche,3.256732908,21,644818
1996,Coahuila de Zaragoza,3.039751456,68,2237025
1996,Colima,3.428917586,18,524947
1996,Chiapas,1.675507149,64,3819739
1996,Chihuahua,2.796662311,77,2753282
1996,Distrito Federal,11.05302794,981,8875396
1996,Durango,1.982460014,29,1462829
1996,Guanajuato,2.043992735,102,4990233
1996,Guerrero,3.690670112,117,3170156
1996,Hidalgo,1.719298698,40,2326530
1996,Jalisco,6.634001651,416,6270725
1996,México,4.908654817,583,11876981
1996,Michoacán de Ocampo,2.4150191,100,4140754
1996,Morelos,7.041013906,108,1533870
1996,Nayarit,5.050688046,46,910767
1996,Nuevo León,4.094233981,150,3663689
1996,Oaxaca,2.635309105,94,3566944
1996,Puebla,5.050316037,251,4969986
1996,Querétaro,2.230476534,32,1434671
1996,Quintana Roo,5.201606662,41,788218
1996,San Luis Potosí,1.797628927,42,2336411
1996,Sinaloa,4.131778958,100,2420265
1996,Sonora,1.889264538,40,2117226
1996,Tabasco,3.135579201,58,1849738
1996,Tamaulipas,2.812135301,72,2560332
1996,Tlaxcala,2.890055853,27,934238
1996,Veracruz de Ignacio de la Llave,4.395367706,311,7075631
1996,Yucatán,5.263213297,85,1614983
1996,Zacatecas,1.39966632,20,1428912
1997,Nacional,4.290949017,4171,97204604
1997,Aguascalientes,2.297786918,22,957443
1997,Baja California,8.888218298,205,2306424
1997,Baja California Sur,4.453267644,19,426653
1997,Campeche,3.184631273,21,659417
1997,Coahuila de Zaragoza,2.108714791,48,2276268
1997,Colima,6.015433346,32,531965
1997,Chiapas,1.842703738,72,3907302
1997,Chihuahua,4.055835333,114,2810765
1997,Distrito Federal,10.00537817,890,8895216
1997,Durango,2.036713803,30,1472961
1997,Guanajuato,1.608971466,81,5034272
1997,Guerrero,4.328144891,138,3188433
1997,Hidalgo,1.365516276,32,2343436
1997,Jalisco,5.47465927,347,6338294
1997,México,4.492031827,546,12154856
1997,Michoacán de Ocampo,1.782034968,74,4152556
1997,Morelos,5.931798502,92,1550963
1997,Nayarit,5.662705314,52,918289
1997,Nuevo León,3.53401638,132,3735127
1997,Oaxaca,2.697356841,97,3596113
1997,Puebla,4.89875639,247,5042096
1997,Querétaro,2.320450058,34,1465233
1997,Quintana Roo,5.211590577,43,825084
1997,San Luis Potosí,1.95495528,46,2352995
1997,Sinaloa,3.712297741,91,2451312
1997,Sonora,2.175462633,47,2160460
1997,Tabasco,4.143307443,78,1882554
1997,Tamaulipas,2.791023457,73,2615528
1997,Tlaxcala,2.411599163,23,953724
1997,Veracruz de Ignacio de la Llave,4.671202737,333,7128785
1997,Yucatán,5.907278864,97,1642042
1997,Zacatecas,1.050392216,15,1428038
1998,Nacional,4.144775779,4082,98485424
1998,Aguascalientes,2.359119536,23,974940
1998,Baja California,8.66961238,207,2387650
1998,Baja California Sur,4.319055445,19,439911
1998,Campeche,3.859444952,26,673672
1998,Coahuila de Zaragoza,2.634520336,61,2315412
1998,Colima,5.199049317,28,538560
1998,Chiapas,2.503551914,100,3994325
1998,Chihuahua,3.24228667,93,2868346
1998,Distrito Federal,8.672809888,773,8912913
1998,Durango,1.551685637,23,1482259
1998,Guanajuato,1.753746762,89,5074849
1998,Guerrero,4.587581137,147,3204303
1998,Hidalgo,1.652851932,39,2359558
1998,Jalisco,5.670624804,363,6401411
1998,México,3.863466075,480,12424077
1998,Michoacán de Ocampo,2.187436375,91,4160121
1998,Morelos,5.682159169,89,1566306
1998,Nayarit,3.674726206,34,925239
1998,Nuevo León,3.914142111,149,3806709
1998,Oaxaca,3.532518628,128,3623477
1998,Puebla,4.341705524,222,5113198
1998,Querétaro,2.340496814,35,1495409
1998,Quintana Roo,4.174309905,36,862418
1998,San Luis Potosí,1.520477024,36,2367678
1998,Sinaloa,2.780857544,69,2481249
1998,Sonora,2.677489169,59,2203557
1998,Tabasco,4.491820969,86,1914591
1998,Tamaulipas,2.545154027,68,2671744
1998,Tlaxcala,2.671917327,26,973084
1998,Veracruz de Ignacio de la Llave,5.255208685,377,7173835
1998,Yucatán,5.6331951,94,1668680
1998,Zacatecas,0.841548365,12,1425943
1999,Nacional,4.193325568,4181,99706067
1999,Aguascalientes,2.621342974,26,991858
1999,Baja California,9.476676845,234,2469220
1999,Baja California Sur,3.308774871,15,453340
1999,Campeche,2.909420996,20,687422
1999,Coahuila de Zaragoza,2.038710006,48,2354430
1999,Colima,6.064504273,33,544150
1999,Chiapas,2.816273654,115,4083410
1999,Chihuahua,3.826446072,112,2926998
1999,Distrito Federal,7.717141777,689,8928176
1999,Durango,2.553240095,38,1488305
1999,Guanajuato,2.20959775,113,5114053
1999,Guerrero,4.508892936,145,3215867
1999,Hidalgo,1.557906544,37,2374982
1999,Jalisco,6.106475545,394,6452167
1999,México,3.793679367,481,12678984
1999,Michoacán de Ocampo,2.47675279,103,4158671
1999,Morelos,7.352339977,116,1577729
1999,Nayarit,4.300672948,40,930087
1999,Nuevo León,3.972252014,154,3876894
1999,Oaxaca,3.091712787,113,3654932
1999,Puebla,4.066680454,211,5188507
1999,Querétaro,1.702669393,26,1527014
1999,Quintana Roo,5.772787524,52,900778
1999,San Luis Potosí,2.270589517,54,2378237
1999,Sinaloa,2.990289931,75,2508118
1999,Sonora,2.046420832,46,2247827
1999,Tabasco,4.470320923,87,1946169
1999,Tamaulipas,2.894273296,79,2729528
1999,Tlaxcala,2.616420656,26,993724
1999,Veracruz de Ignacio de la Llave,5.479183749,395,7209103
1999,Yucatán,4.836043385,82,1695601
1999,Zacatecas,1.549529295,22,1419786
2000,Nacional,4.1587455,4196,100895811
2000,Aguascalientes,1.784922757,18,1008447
2000,Baja California,10.58889139,270,2549842
2000,Baja California Sur,4.930807902,23,466455
2000,Campeche,5.137660766,36,700708
2000,Coahuila de Zaragoza,2.631847189,63,2393756
2000,Colima,3.816162721,21,550291
2000,Chiapas,3.433494531,143,4164853
2000,Chihuahua,4.216970495,126,2987927
2000,Distrito Federal,6.964835407,623,8944935
2000,Durango,1.936414815,29,1497613
2000,Guanajuato,2.119069958,109,5143766
2000,Guerrero,4.525185602,146,3226387
2000,Hidalgo,1.506097183,36,2390284
2000,Jalisco,5.189239115,338,6513479
2000,México,3.579988621,463,12933002
2000,Michoacán de Ocampo,2.234361989,93,4162262
2000,Morelos,5.464597573,87,1592066
2000,Nayarit,4.484012893,42,936661
2000,Nuevo León,3.240456287,128,3950061
2000,Oaxaca,3.513625923,129,3671421
2000,Puebla,3.923790839,206,5250025
2000,Querétaro,1.801201401,28,1554518
2000,Quintana Roo,7.775784715,73,938812
2000,San Luis Potosí,1.506080801,36,2390310
2000,Sinaloa,2.245899165,57,2537959
2000,Sonora,2.35808787,54,2289991
2000,Tabasco,4.554863329,90,1975910
2000,Tamaulipas,3.834218429,107,2790660
2000,Tlaxcala,2.47100034,25,1011736
2000,Veracruz de Ignacio de la Llave,6.843958844,495,7232656
2000,Yucatán,4.76383298,82,1721303
2000,Zacatecas,1.410720773,20,1417715
2001,Nacional,4.227284551,4317,102122295
2001,Aguascalientes,3.022729954,31,1025563
2001,Baja California,7.726363418,203,2627368
2001,Baja California Sur,4.165018014,20,480190
2001,Campeche,4.341688048,31,714008
