Periodo,Entidad de Residencia,Defunciones por Diabetes Tipo II,Poblacion Total,Tasa de Mortalidad por Diabetes Tipo II
2003,Chihuahua,765,3165454,24.16714948
2003,Distrito Federal,3934,8982214,43.79766503
2003,Durango,350,1540255,22.72351007
2003,Guanajuato,1338,5247781,25.4964908
2003,Guerrero,619,3276596,18.89155697
2003,Hidalgo,561,2456380,22.8384859
2003,Jalisco,1655,6752883,24.50805086
2003,México,4020,13723512,29.29279327
2003,Michoacán de Ocampo,1086,4212077,25.78300444
2003,Morelos,464,1648428,28.14802952
2003,Nayarit,226,970986,23.27530984
2003,Nuevo León,825,4180268,19.73557676
2003,Oaxaca,745,3715944,20.04874132
2003,Puebla,1701,5428158,31.33659706
2003,Querétaro de Arteaga,331,1636560,20.22535074
2003,Quintana Roo,115,1054642,10.90417412
2003,San Luis Potosí,540,2445009,22.08580827
2003,Sinaloa,589,2633143,22.36870538
2003,Sonora,492,2416527,20.35979735
2003,Tabasco,549,2062700,26.61560091
2003,Tamaulipas,872,2968581,29.37430375
2003,Tlaxcala,298,1063593,28.0182363
2003,Veracruz Llave,1938,7333249,26.42757664
2003,Yucatán,477,1797323,26.53947009
2003,Zacatecas,323,1431569,22.56265678
2003,Nacional,27384,104719891,26.14975984
2004,Aguascalientes,311,1079814,28.80125651
2004,Baja California,577,2845936,20.2745248
2004,Baja California Sur,113,529124,21.35605265
2004,Campeche,207,754622,27.43095219
2004,Coahuila de Zaragoza,868,2550208,34.03643938
2004,Colima,176,584151,30.12919605
2004,Chiapas,717,4476586,16.01666985
2004,Chihuahua,835,3218865,25.94082076
2004,Distrito Federal,4371,8982860,48.65933567
2004,Durango,367,1551703,23.6514333
2004,Guanajuato,1602,5282560,30.32620548
2004,Guerrero,664,3291452,20.17346752
2004,Hidalgo,668,2480424,26.93087956
2004,Jalisco,1963,6823155,28.76968206
2004,México,4686,13978080,33.52391745
2004,Michoacán de Ocampo,1302,4220890,30.84657501
2004,Morelos,528,1663867,31.73330561
2004,Nayarit,282,982991,28.6879534
2004,Nuevo León,1011,4254706,23.76192386
2004,Oaxaca,925,3738874,24.7400688
2004,Puebla,1958,5493482,35.64223929
2004,Querétaro de Arteaga,346,1666361,20.76380808
2004,Quintana Roo,162,1094787,14.79739895
2004,San Luis Potosí,601,2460435,24.42657498
2004,Sinaloa,653,2660125,24.54771862
2004,Sonora,532,2460302,21.62336168
2004,Tabasco,679,2092064,32.45598605
2004,Tamaulipas,922,3022458,30.5049731
2004,Tlaxcala,393,1082473,36.30575543
2004,Veracruz Llave,2280,7372393,30.92618638
2004,Yucatán,564,1823186,30.93485799
2004,Zacatecas,328,1432635,22.89487553
2004,Nacional,31591,105951569,29.81645321
2005,Aguascalientes,309,1096736,28.17451055
2005,Baja California,621,2912674,21.32061467
2005,Baja California Sur,101,546776,18.47191537
2005,Campeche,200,768097,26.03837797
2005,Coahuila de Zaragoza,967,2587518,37.3717207
2005,Colima,189,593827,31.82745143
2005,Chiapas,844,4549034,18.55338958
2005,Chihuahua,1020,3270309,31.18971327
2005,Distrito Federal,4773,8980415,53.14899144
2005,Durango,463,1566228,29.5614687
2005,Guanajuato,1729,5307620,32.57580611
2005,Guerrero,819,3306347,24.77053981
2005,Hidalgo,800,2504490,31.94263103
2005,Jalisco,2159,6903508,31.27395521
2005,México,5199,14233514,36.52646845
2005,Michoacán de Ocampo,1551,4233917,36.63274457
2005,Morelos,603,1681965,35.85092437
2005,Nayarit,285,997581,28.56910867
2005,Nuevo León,1216,4330486,28.07998917
2005,Oaxaca,1092,3749560,29.12341715
2005,Puebla,2291,5545664,41.3115544
2005,Querétaro de Arteaga,387,1692334,22.86782633
2005,Quintana Roo,215,1134284,18.9546886
2005,San Luis Potosí,646,2477675,26.07283038
2005,Sinaloa,671,2689158,24.95204819
2005,Sonora,548,2501653,21.90551607
2005,Tabasco,751,2120331,35.41899826
2005,Tamaulipas,973,3075303,31.63915881
2005,Tlaxcala,394,1098660,35.86186809
2005,Veracruz Llave,2617,7409930,35.31747263
2005,Yucatán,611,1848087,33.06121411
2005,Zacatecas,395,1437330,27.48151086
2005,Nacional,35439,107151011,33.07388299
2006,Aguascalientes,361,1114099,32.40286545
2006,Baja California,641,2977440,21.52856145
2006,Baja California Sur,132,565024,23.3618395
2006,Campeche,250,781620,31.98485197
2006,Coahuila de Zaragoza,1020,2625332,38.85222898
2006,Colima,212,605061,35.03778958
2006,Chiapas,978,4616199,21.18626168
2006,Chihuahua,1051,3322439,31.6333874
2006,Distrito Federal,5151,8977954,57.37387382
2006,Durango,478,1585478,30.14863656
2006,Guanajuato,1942,5333508,36.41130753
2006,Guerrero,849,3325479,25.53015671
2006,Hidalgo,869,2531941,34.32149485
2006,Jalisco,2175,7000916,31.06736319
2006,México,5640,14497023,38.90453923
2006,Michoacán de Ocampo,1527,4258725,35.85580191
2006,Morelos,689,1704544,40.42136783
2006,Nayarit,299,1015912,29.43168306
2006,Nuevo León,1165,4408836,26.42420811
2006,Oaxaca,1085,3753744,28.90447511
2006,Puebla,2560,5590760,45.78983895
2006,Querétaro de Arteaga,488,1716842,28.42428133
2006,Quintana Roo,220,1174644,18.72907877
2006,San Luis Potosí,768,2499894,30.72130258
2006,Sinaloa,722,2721660,26.52792781
2006,Sonora,611,2542078,24.03545446
2006,Tabasco,710,2147091,33.06799758
2006,Tamaulipas,1097,3129386,35.05479989
