Periodo,Entidad federativa,Tasa de mortalidad en niños menores de 5 años,Defunciones en la población menor de 5 años de edad,Nacidos vivos
1993,Nuevo León,22.34167439,1808,80925
1993,Oaxaca,49.56048808,4939,99656
1993,Puebla,45.00695332,6408,142378
1993,Querétaro,33.51701127,1326,39562
1993,Quintana Roo,28.78164899,532,18484
1993,San Luis Potosí,35.00568684,2216,63304
1993,Sinaloa,24.29223143,1475,60719
1993,Sonora,29.52909887,1510,51136
1993,Tabasco,31.89668895,1603,50256
1993,Tamaulipas,27.97143487,1649,58953
1993,Tlaxcala,41.92402718,1086,25904
1993,Veracruz de Ignacio de la Llave,37.95518986,6827,179870
1993,Yucatán,26.13779109,1082,41396
1993,Zacatecas,33.13984169,1256,37900
1994,Nacional,32.92728643,80722,2451523
1994,Aguascalientes,26.48516683,716,27034
1994,Baja California,33.31364442,1692,50790
1994,Baja California Sur,23.81978875,221,9278
1994,Campeche,27.56406373,455,16507
1994,Coahuila de Zaragoza,24.44479118,1410,57681
1994,Colima,26.22391186,338,12889
1994,Chiapas,47.90114125,5830,121709
1994,Chihuahua,33.64247185,2133,63402
1994,Distrito Federal,22.53028931,3907,173411
1994,Durango,28.76451222,1162,40397
1994,Guanajuato,33.8648922,4621,136454
1994,Guerrero,41.24640323,4028,97657
1994,Hidalgo,36.44843108,2243,61539
1994,Jalisco,27.48681283,4398,160004
1994,México,34.24659806,10326,301519
1994,Michoacán de Ocampo,32.51841049,3590,110399
1994,Morelos,26.75018819,995,37196
1994,Nayarit,27.52459983,607,22053
1994,Nuevo León,20.99573467,1713,81588
1994,Oaxaca,46.81442396,4649,99307
1994,Puebla,42.82552074,6133,143209
1994,Querétaro,31.77848453,1259,39618
1994,Quintana Roo,27.58694719,514,18632
1994,San Luis Potosí,33.19705901,2095,63108
1994,Sinaloa,23.22029723,1414,60895
1994,Sonora,27.83838541,1429,51332
1994,Tabasco,30.37652578,1528,50302
1994,Tamaulipas,26.50907556,1570,59225
1994,Tlaxcala,39.9048423,1040,26062
1994,Veracruz de Ignacio de la Llave,36.15477092,6496,179672
1994,Yucatán,25.19535529,1035,41079
1994,Zacatecas,31.27079175,1175,37575
1995,Nacional,31.3385897,76620,2444909
1995,Aguascalientes,25.04880834,680,27147
1995,Baja California,31.60670632,1642,51951
1995,Baja California Sur,22.89426046,215,9391
1995,Campeche,26.22292529,431,16436
1995,Coahuila de Zaragoza,22.96997434,1325,57684
1995,Colima,24.9589234,319,12781
1995,Chiapas,45.20044851,5563,123074
1995,Chihuahua,31.81532663,2026,63680
1995,Distrito Federal,21.71456012,3708,170761
1995,Durango,27.29097985,1101,40343
1995,Guanajuato,31.95534521,4328,135439
1995,Guerrero,39.48761707,3841,97271
1995,Hidalgo,34.79802373,2120,60923
1995,Jalisco,26.11569208,4149,158870
1995,México,32.6927077,9902,302881
1995,Michoacán de Ocampo,31.0356243,3375,108746
1995,Morelos,25.66961251,944,36775
1995,Nayarit,26.28686573,574,21836
1995,Nuevo León,19.80282376,1627,82160
1995,Oaxaca,44.26133139,4367,98664
1995,Puebla,40.94469332,5813,141972
1995,Querétaro,30.12108981,1194,39640
1995,Quintana Roo,26.39982968,496,18788
1995,San Luis Potosí,31.62931653,1983,62695
1995,Sinaloa,22.08538588,1345,60900
1995,Sonora,26.28314467,1356,51592
1995,Tabasco,28.92553763,1454,50267
1995,Tamaulipas,25.17576163,1504,59740
1995,Tlaxcala,38.03037839,994,26137
1995,Veracruz de Ignacio de la Llave,34.51366598,6161,178509
1995,Yucatán,24.24987703,986,40660
1995,Zacatecas,29.49241854,1097,37196
1996,Nacional,29.90958305,72709,2430960
1996,Aguascalientes,23.88739848,650,27211
1996,Baja California,30.26103465,1594,52675
1996,Baja California Sur,22.03479178,209,9485
1996,Campeche,24.96013737,407,16306
1996,Coahuila de Zaragoza,21.6387867,1247,57628
1996,Colima,23.617055,298,12618
1996,Chiapas,42.74889158,5303,124050
1996,Chihuahua,30.2731779,1936,63951
1996,Distrito Federal,20.96570762,3524,168084
1996,Durango,26.00809474,1041,40026
1996,Guanajuato,30.29896269,4063,134097
1996,Guerrero,37.87745103,3649,96337
1996,Hidalgo,33.35330537,2004,60084
1996,Jalisco,24.91182358,3920,157355
1996,México,31.28589058,9507,303875
1996,Michoacán de Ocampo,29.71775178,3165,106502
1996,Morelos,24.603548,889,36133
1996,Nayarit,25.15460083,541,21507
1996,Nuevo León,18.78896679,1549,82442
1996,Oaxaca,42.00294973,4101,97636
1996,Puebla,39.11640924,5493,140427
1996,Querétaro,28.61837947,1132,39555
1996,Quintana Roo,25.39330588,481,18942
1996,San Luis Potosí,30.20636992,1875,62073
1996,Sinaloa,21.09878517,1280,60667
1996,Sonora,24.94730124,1290,51709
1996,Tabasco,27.57122067,1383,50161
1996,Tamaulipas,24.03806165,1445,60113
1996,Tlaxcala,36.22883785,948,26167
1996,Veracruz de Ignacio de la Llave,32.99680859,5821,176411
1996,Yucatán,23.42427561,941,40172
1996,Zacatecas,27.9806351,1023,36561
1997,Nacional,28.5610534,68978,2415107
1997,Aguascalientes,22.76566057,620,27234
1997,Baja California,28.71274045,1521,52973
1997,Baja California Sur,21.10542263,202,9571
1997,Campeche,23.84343841,385,16147
1997,Coahuila de Zaragoza,20.48268188,1178,57512
1997,Colima,22.49538041,280,12447
1997,Chiapas,40.52632847,5048,124561
1997,Chihuahua,28.96813661,1861,64243
1997,Distrito Federal,20.2649615,3353,165458
1997,Durango,24.81383314,983,39615
1997,Guanajuato,28.72168894,3812,132722
1997,Guerrero,36.2956191,3454,95163
1997,Hidalgo,31.9098698,1892,59292
1997,Jalisco,23.77851208,3706,155855
1997,México,30.01167322,9127,304115
1997,Michoacán de Ocampo,28.5108953,2974,104311
1997,Morelos,23.73636287,842,35473
1997,Nayarit,24.09581742,511,21207
1997,Nuevo León,17.82264297,1476,82816
1997,Oaxaca,39.8976134,3850,96497
1997,Puebla,37.18205201,5204,139960
1997,Querétaro,27.22106652,1073,39418
1997,Quintana Roo,24.38260325,467,19153
1997,San Luis Potosí,28.90361662,1775,61411
1997,Sinaloa,20.17338837,1217,60327
1997,Sonora,23.67881857,1225,51734
1997,Tabasco,26.3446981,1319,50067
