Periodo,Entidad de Residencia,Defunciones por Neoplasias Malignas,Poblacion Total,Tasa de Mortalidad por Neoplasias Malignas
1996,Distrito Federal,5878,8875396,66.22803084
1996,Durango,761,1462829,52.0224852
1996,Guanajuato,2082,4990233,41.72149878
1996,Guerrero,1153,3170156,36.37044991
1996,Hidalgo,959,2326530,41.22018629
1996,Jalisco,3947,6270725,62.94328008
1996,México,4886,11876981,41.13840041
1996,Michoacán de Ocampo,2237,4140754,54.02397728
1996,Morelos,815,1533870,53.13357716
1996,Nayarit,585,910767,64.23157624
1996,Nuevo León,2200,3663689,60.04876506
1996,Oaxaca,1601,3566944,44.88436039
1996,Puebla,2177,4969986,43.80294029
1996,Querétaro de Arteaga,520,1434671,36.24524368
1996,Quintana Roo,201,788218,25.50055949
1996,San Luis Potosí,1193,2336411,51.06122168
1996,Sinaloa,1536,2420265,63.4641248
1996,Sonora,1463,2117226,69.09985046
1996,Tabasco,785,1849738,42.43844263
1996,Tamaulipas,1568,2560332,61.24205767
1996,Tlaxcala,386,934238,41.31709479
1996,Veracruz Llave,3797,7075631,53.66305846
1996,Yucatán,987,1614983,61.1151944
1996,Zacatecas,790,1428912,55.28681962
1996,Nacional,49591,95876664,51.72374375
1997,Aguascalientes,481,957443,50.23797761
1997,Baja California,1198,2306424,51.94188059
1997,Baja California Sur,232,426653,54.37674176
1997,Campeche,356,659417,53.98708253
1997,Coahuila de Zaragoza,1400,2276268,61.50418141
1997,Colima,345,531965,64.85389076
1997,Chiapas,1579,3907302,40.41151669
1997,Chihuahua,1909,2810765,67.91745308
1997,Distrito Federal,6079,8895216,68.34010551
1997,Durango,730,1472961,49.56003587
1997,Guanajuato,2148,5034272,42.66753962
1997,Guerrero,1242,3188433,38.95330402
1997,Hidalgo,966,2343436,41.22152258
1997,Jalisco,3956,6338294,62.4142711
1997,México,4944,12154856,40.67510138
1997,Michoacán de Ocampo,2169,4152556,52.23288982
1997,Morelos,848,1550963,54.67570793
1997,Nayarit,623,918289,67.84356559
1997,Nuevo León,2303,3735127,61.65787669
1997,Oaxaca,1657,3596113,46.07752871
1997,Puebla,2185,5042096,43.33515268
1997,Querétaro de Arteaga,524,1465233,35.76223031
1997,Quintana Roo,200,825084,24.23995617
1997,San Luis Potosí,1179,2352995,50.10635382
1997,Sinaloa,1565,2451312,63.84336225
1997,Sonora,1538,2160460,71.18854318
1997,Tabasco,854,1882554,45.36390457
1997,Tamaulipas,1624,2615528,62.09071361
1997,Tlaxcala,421,953724,44.14274989
1997,Veracruz Llave,3983,7128785,55.87207357
1997,Yucatán,964,1642042,58.70738994
1997,Zacatecas,747,1428038,52.30953238
1997,Nacional,50949,97204604,52.414184
1998,Aguascalientes,499,974940,51.18263688
1998,Baja California,1354,2387650,56.70847905
