Periodo,Entidad federativa,Casos confirmados de tuberculosis,Población total,Tasa de incidencia asociada a la tuberculosis (todas las formas) por 100 mil habitantes
2013,Nayarit,291,1178403,24.69443815
2013,Nuevo León,1233,4941059,24.95416468
2013,Oaxaca,698,3959042,17.63052779
2013,Puebla,536,6067607,8.833795597
2013,Querétaro,245,1943889,12.60360031
2013,Quintana Roo,244,1484960,16.43141903
2013,San Luis Potosí,342,2702145,12.65661169
2013,Sinaloa,878,2932313,29.94223332
2013,Sonora,854,2851462,29.94954869
2013,Tabasco,619,2334493,26.51539328
2013,Tamaulipas,1108,3461336,32.01076116
2013,Tlaxcala,50,1242734,4.023387145
2013,Veracruz de Ignacio de la Llave,2114,7923198,26.68114567
2013,Yucatán,238,2064151,11.53016422
2013,Zacatecas,92,1550179,5.934798497
2012,Estados Unidos Mexicanos,19697,117053751,16.8273121
2012,Aguascalientes,75,1233921,6.078184908
2012,Baja California,1948,3328623,58.52269843
2012,Baja California Sur,159,695409,22.86424248
2012,Campeche,139,866375,16.04386091
2012,Coahuila de Zaragoza,554,2854334,19.40908107
2012,Colima,151,685394,22.0311237
2012,Chiapas,1254,5050568,24.82889053
2012,Chihuahua,753,3598792,20.92368773
2012,Distrito Federal,800,8911665,8.976998125
2012,Durango,229,1709741,13.39384152
2012,Guanajuato,351,5668181,6.192462802
2012,Guerrero,1220,3499507,34.86205343
2012,Hidalgo,281,2768973,10.14816685
2012,Jalisco,1036,7644152,13.55284406
2012,México,871,16106485,5.407759669
2012,Michoacán de Ocampo,316,4494730,7.030455667
2012,Morelos,175,1850812,9.455309345
2012,Nayarit,282,1155448,24.4061178
2012,Nuevo León,1263,4868844,25.94044911
2012,Oaxaca,754,3930833,19.1816849
2012,Puebla,520,6002161,8.663546346
2012,Querétaro,224,1912803,11.71056298
2012,Quintana Roo,299,1440115,20.76223079
2012,San Luis Potosí,378,2675311,14.12919844
2012,Sinaloa,873,2905750,30.04387852
2012,Sonora,846,2809806,30.10884025
2012,Tabasco,545,2309071,23.60256571
2012,Tamaulipas,1116,3419338,32.63789658
2012,Tlaxcala,49,1224637,4.001185657
2012,Veracruz de Ignacio de la Llave,1943,7858604,24.72449305
2012,Yucatán,218,2036694,10.70362067
2012,Zacatecas,75,1536674,4.880670851
2011,Estados Unidos Mexicanos,18986,115682867,16.41211053
2011,Aguascalientes,86,1215094,7.07764173
2011,Baja California,1793,3275399,54.74142234
2011,Baja California Sur,166,672682,24.67733639
2011,Campeche,141,852373,16.54205377
2011,Coahuila de Zaragoza,480,2818077,17.03289158
2011,Colima,162,672263,24.09771176
2011,Chiapas,1081,4980633,21.70406854
2011,Chihuahua,757,3559248,21.26853762
2011,Distrito Federal,805,8928400,9.016173111
2011,Durango,224,1690418,13.25116036
2011,Guanajuato,398,5614698,7.088537977
2011,Guerrero,1226,3473454,35.29627857
2011,Hidalgo,259,2730570,9.485199061
2011,Jalisco,894,7543233,11.85168216
2011,México,743,15845558,4.689011267
2011,Michoacán de Ocampo,357,4458100,8.00789574
2011,Morelos,188,1827187,10.28903993
2011,Nayarit,293,1132215,25.87847714
2011,Nuevo León,1194,4797263,24.88919202
2011,Oaxaca,699,3901419,17.91655805
2011,Puebla,490,5935014,8.25608836
2011,Querétaro,206,1881105,10.95101018
2011,Quintana Roo,251,1395357,17.9882281
2011,San Luis Potosí,376,2647570,14.20170194
2011,Sinaloa,796,2878525,27.65305148
2011,Sonora,822,2767364,29.7033567
2011,Tabasco,559,2283140,24.48382491
